,Scene_Names,Scene_action,Scene_Characters,Scene_Dialogue,Contents
48,INT. DEADPOOL’S LAIR  DAY  PRESENT 39,BLIND AL stands up in comfy creme nursing shoes. Grabs her  redtipped CANE. And shuffles toward the front door... when she is TRIPPED by the ROOMBA. She FACEPLANTS.,"['DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL']","['Lets get ready to Rooooooomba Page 64119BLIND AL  Asshat. Al SWINGS her cane angrily, again and again, trying to hitthe robotic vacuum, which moves happily just out of reach. She reaches her knees and stretches for the door when... DEADPOOL SPRINGS it open from outside, SLAMMING it intoher HEAD. Blind Al goes down again. Deadpool Final Shooting Script 111615 63. 39 ', 'Morning, roomie This place reeks like old lady pants. BLIND AL  Yes. I am old. I wear pants.', 'But you are no lady. Blind Al struggles to a sitting position. Deadpool walkspast her in his socks, drops his muddy BOOTS to the floor andslips into a pair of POWDERBLUE CROCS parked just inside thedoor.', 'So comfy. BLIND AL  Upside of being blind I have never seen  you in Crocs.', 'You mean my big rubber masturbatinshoes? BLIND AL  Yes I know. Downside of being blind I  hear everything in this duplex. Deadpool walks bitterly past one wall of the DUPLEX, which is  COVERED  WALLtoWALL, FLOORtoCEILING, with CHRISTMAS  ADVENT CALENDARS. Page 65119Tons of ornamentscandiesetc. adorn the calendars. Theres  not ONE CALENDAR left uncovered.', 'Onethousand eighthundred twentytwoornaments pinned to twohundredsixtycalendars. All for a Christmas that...  never... came BLIND AL  Too much naughty, too little nice.', 'Sit on a stick. DEADPOOL SPLAYS OUT on a white futon, MOANING, nursing hishorrifying wound. Deadpool Final Shooting Script 111615 64. 39  BLIND AL  Bactine?', 'Yeah. Bactine should do it. Hows the  Kullen coming? IKEA doesnt assemble  itself. Blind Al sits back on the ratty couch and begins applying thefinishing touches to the shelving unit. BLIND AL  You are telling me. I dont mind the  Kullen. Its an improvement on theHurdal.', 'Anythings an improvement on the Hurdal. I had have taken a Hemnes... or even a  Trysil... over the Hurdal. But I didnt  get excited til I saw the Kullen. BLIND AL  Screw please.', 'Page 66119Here? Now? Just kidding. I know its  been decades for you. BLIND AL  You had be surprised.', 'And totally grossed out Blind Al turns the final screw, beyond unenthusiastic. BLIND AL  Ta. Dah. The dresser look like the Leaning Tower of Piza in shittyparticle board. Deadpool TOSSES a DIRTY MAGAZINE on top.  The Kullen COLLAPSES. BLIND AL  I wish I had never heard of Craigs List.', 'And I quote Blind to lifes imperfections. Must be  good with hands. Or wouldya rather I  build IKEA and you pay rent? Deadpool Final Shooting Script 111615 65. 39  BLIND AL  Why such a douche this morning?', 'Lets recap. That cockthistle who  turned me into this freak... the one I have  been waiting five years for... slippedthrough my arms today. Arm. Deadpool holds up his previously severed arm, which now hasa little tweenage ARM emerging off it. Yes. Deadpool canGROW BACK LIMBS.', 'Catching him was my only chance to be hotagain. Get my supersexy ex back. And  stop the same shit from happening toanyone else. So yeah, things are prettyfucking scrumptious. Deadpool stands. Walks behind the couch, and as he passesthe back of Blind Page 67119Als head... FARTS.', 'Hashtag Driveby.', 'Once I have got the cure, I am gonna do thesame to Francis... RS40 ']"," BLIND AL stands up in comfy creme nursing shoes. Grabs her  redtipped CANE. And shuffles toward the front door... when she is TRIPPED by the ROOMBA. She FACEPLANTS. DEADPOOL  Lets get ready to Rooooooomba Page 64119BLIND AL  Asshat. Al SWINGS her cane angrily, again and again, trying to hitthe robotic vacuum, which moves happily just out of reach. She reaches her knees and stretches for the door when... DEADPOOL SPRINGS it open from outside, SLAMMING it intoher HEAD. Blind Al goes down again. Deadpool Final Shooting Script 111615 63. 39  DEADPOOL  Morning, roomie This place reeks like old lady pants. BLIND AL  Yes. I am old. I wear pants. DEADPOOL  But you are no lady. Blind Al struggles to a sitting position. Deadpool walkspast her in his socks, drops his muddy BOOTS to the floor andslips into a pair of POWDERBLUE CROCS parked just inside thedoor. DEADPOOL  So comfy. BLIND AL  Upside of being blind I have never seen  you in Crocs. DEADPOOL  You mean my big rubber masturbatinshoes? BLIND AL  Yes I know. Downside of being blind I  hear everything in this duplex. Deadpool walks bitterly past one wall of the DUPLEX, which is  COVERED  WALLtoWALL, FLOORtoCEILING, with CHRISTMAS  ADVENT CALENDARS. Page 65119Tons of ornamentscandiesetc. adorn the calendars. Theres  not ONE CALENDAR left uncovered. DEADPOOL  Onethousand eighthundred twentytwoornaments pinned to twohundredsixtycalendars. All for a Christmas that...  never... came BLIND AL  Too much naughty, too little nice. DEADPOOL  Sit on a stick. DEADPOOL SPLAYS OUT on a white futon, MOANING, nursing hishorrifying wound. Deadpool Final Shooting Script 111615 64. 39  BLIND AL  Bactine? DEADPOOL Yeah. Bactine should do it. Hows the  Kullen coming? IKEA doesnt assemble  itself. Blind Al sits back on the ratty couch and begins applying thefinishing touches to the shelving unit. BLIND AL  You are telling me. I dont mind the  Kullen. Its an improvement on theHurdal. DEADPOOL  Anythings an improvement on the Hurdal. I had have taken a Hemnes... or even a  Trysil... over the Hurdal. But I didnt  get excited til I saw the Kullen. BLIND AL  Screw please. DEADPOOL  Page 66119Here? Now? Just kidding. I know its  been decades for you. BLIND AL  You had be surprised. DEADPOOL  And totally grossed out Blind Al turns the final screw, beyond unenthusiastic. BLIND AL  Ta. Dah. The dresser look like the Leaning Tower of Piza in shittyparticle board. Deadpool TOSSES a DIRTY MAGAZINE on top.  The Kullen COLLAPSES. BLIND AL  I wish I had never heard of Craigs List. DEADPOOL  And I quote Blind to lifes imperfections. Must be  good with hands. Or wouldya rather I  build IKEA and you pay rent? Deadpool Final Shooting Script 111615 65. 39  BLIND AL  Why such a douche this morning? DEADPOOL  Lets recap. That cockthistle who  turned me into this freak... the one I have  been waiting five years for... slippedthrough my arms today. Arm. Deadpool holds up his previously severed arm, which now hasa little tweenage ARM emerging off it. Yes. Deadpool canGROW BACK LIMBS. DEADPOOL  Catching him was my only chance to be hotagain. Get my supersexy ex back. And  stop the same shit from happening toanyone else. So yeah, things are prettyfucking scrumptious. Deadpool stands. Walks behind the couch, and as he passesthe back of Blind Page 67119Als head... FARTS. DEADPOOL  Hashtag Driveby. BLIND AL I am gonna find this Craig. And I am  gonna kill him. DEADPOOL  Once I have got the cure, I am gonna do thesame to Francis... RS40 "
49,INT. WORKSHOP TENT  LATER RS40,"WADE, newly scarred, hidden in darkness, continues to GASP asthough being held underwater. Then the lid on the punchbowlSLIDES BACK, revealing AJAX. Wade takes deep LUNGSFUL ofAIR. Ajax leans in for a closer look.","['AJAX', 'WADE', 'AJAX', 'AJAX', 'WADE', 'AJAX', 'AJAX', 'AJAX', 'AJAX', 'AJAX', 'AJAX', 'AJAX', 'DEADPOOL']","['Bloody hell. Someone lost his shot at  homecoming king.', 'What have you done to me?', 'You give me too much credit. This...  this is the result of your genes. Deadpool Final Shooting Script 111615 66. RS40 ', 'The punch bowl merely raised your stressto trigger the mutation.', 'You... sadistic... fuck', ""Where's the gratitude? You are cured  Your mutated cells can heal anything. They are attacking the cancer as fast asit can form. Your insides are a war  zone. Not to mention your outsides Wade looks stunned as he struggles to process all thisinformation. Ajax Page 68119smiles down."", 'I have seen similar sideeffects before. I  could cure them for you. But really, wheres the fun in that? Wade says nothing, hating him but wanting to believe.', 'I am going to close this lid again. Maybe  you no longer need it. But I do. For a long moment, Wade stares intensely at Ajax and sees... nothing, a black hole of empathy. And he knows this is a man  who will never stop hurting him.', 'Hes all yours. Angel leans over the Punchbowl, starts to undo Wadesrestraints.', 'Whoa. Angel advances toward Wade. Ajax stops her.', 'Hey, hey, alright. Its alright. I think he earned that one, yeah? You take off. Go on... off you go. As Angel Dust EXITS the tent, she reaches to her mouth forher matchstick... only its not there. She frowns, fishes  another match from her pocket, and tucks it between her lips. Ajax finishes strapping Wade back down and goes to close thelid. Page 69119AJAX  One question. Whats my name? Wade remains listless, mouth SHUT. BLINKS.', 'Didnt think so. Ajax S and LOCKS the lid. HISS. The oxygen DIALS FALL.', 'Sorry, Francis. But my lips are sealed. And then we are inside the punch bowl with Wade as the oxygenlevels drop and the suffering rises. Through a fog of miseryWade sees Ajax staring down, watching him, drinking in hispain. 41 ']"," WADE, newly scarred, hidden in darkness, continues to GASP asthough being held underwater. Then the lid on the punchbowlSLIDES BACK, revealing AJAX. Wade takes deep LUNGSFUL ofAIR. Ajax leans in for a closer look. AJAX  Bloody hell. Someone lost his shot at  homecoming king. WADE  What have you done to me? AJAX  You give me too much credit. This...  this is the result of your genes. Deadpool Final Shooting Script 111615 66. RS40  AJAX  The punch bowl merely raised your stressto trigger the mutation. WADE  You... sadistic... fuck AJAX  Where's the gratitude? You are cured  Your mutated cells can heal anything. They are attacking the cancer as fast asit can form. Your insides are a war  zone. Not to mention your outsides Wade looks stunned as he struggles to process all thisinformation. Ajax Page 68119smiles down. AJAX  I have seen similar sideeffects before. I  could cure them for you. But really, wheres the fun in that? Wade says nothing, hating him but wanting to believe. AJAX  I am going to close this lid again. Maybe  you no longer need it. But I do. For a long moment, Wade stares intensely at Ajax and sees... nothing, a black hole of empathy. And he knows this is a man  who will never stop hurting him. NOTE the exception of the final shot. So he turns his gaze to the ceiling and WITHDRAWS intohimself... the one place the cruelty can no longer reach him. Angel Dust enters, chewing on her usual matchstick. AJAX  Hes all yours. Angel leans over the Punchbowl, starts to undo Wadesrestraints. ANGEL  You smell like shit. When Angel Dust leans close to Wades head he suddenly comesalive and uses the strength he has left to HEADBUTT her inthe FOREHEAD. Deadpool Final Shooting Script 111615 67. AJAX  Whoa. Angel advances toward Wade. Ajax stops her. AJAX  Hey, hey, alright. Its alright. I think he earned that one, yeah? You take off. Go on... off you go. As Angel Dust EXITS the tent, she reaches to her mouth forher matchstick... only its not there. She frowns, fishes  another match from her pocket, and tucks it between her lips. Ajax finishes strapping Wade back down and goes to close thelid. Page 69119AJAX  One question. Whats my name? Wade remains listless, mouth SHUT. BLINKS. AJAX  Didnt think so. Ajax S and LOCKS the lid. HISS. The oxygen DIALS FALL. DEADPOOL  Sorry, Francis. But my lips are sealed. And then we are inside the punch bowl with Wade as the oxygenlevels drop and the suffering rises. Through a fog of miseryWade sees Ajax staring down, watching him, drinking in hispain. 41 "
50,INT. WORKSHOP  NIGHT  PAST 41,"Back in the PunchBowl, Wade OPENS his MOUTH... within which  he was HIDING a SINGLE MATCHSTICK, clenched carefully  dryly between his teeth.  He inhales... then SPITS OUT the match into his waiting PALM. Finally, he STRIKES it against the side of the Punch Bowl. Wade aims the now FLAMING match toward the tiny HOLE throughwhich OXYGEN flows. The match is quickly burning down. Will  it reach the hole before it snuffs out? At the last possible moment... the flame COMBUSTS the stream of oxygen, IGNITING it... Deadpool Final Shooting Script 111615 68. 41  back through the TRANSPARENT PLASTIC TUBE that trails outside the PunchBowl.  The flame SNAKES through the tube, this way and that, untilit reaches the OXYGEN TANK standing next to the PunchBowl. A beat. Then the TANK EXPLODES. The BLOWS APART. The hospital bed SNAPS in TWO. Out in the ward, the FIREBALL curls outward, spreading fromTENT to TENT. BOOM BOOM Other flammable tanks DETONATE.  The tents GO UP like ROMAN CANDLES. Its now MASS CHAOS.  ALARMS BLARE. Flames LEAP. Smoke BILLOWS. Patients FLEE.  A CURTAIN of FIRE suddenly DISPERSES, replaced by billowy WHITE SMOKE from an OVERSIZED CHROME FIRE EXTINGUISHER... held by AJAX, who STRIDES grimly toward Wades tent. He  throws back the burning fabric...  and nearly EATS an OXYGEN TANK. He BLOCKS it at the last moment with his FIRE EXTINGUISHER. CLANG. On the other end of the oxygen tank, WINDMILLING it withunbridled FEROCITY, is WADE.  Page 70119WADE and AJAX SWING the oxygen tank and fire extinguisher like modern day CLUBS, trying to take off each others heads.  CLANG BANG BAM The tanks COLLIDE in midair.  Ajaxs fingers CRUNCH between metal. He doesnt even feel it. Wade grabs the HOSE of Ajaxs fire extinguisher, angles itup, and gets his finger on the TRIGGER.  The extinguisher BLASTS. Ajax is momentarily BLINDED.  Wade brings the oxygen tank down like a LUMBERJACKS AXE. Ajax BLOCKS it, but is driven to his KNEES.  Wades eyes are lit with fire. DOWN the tank COMES, again and AGAIN. Ajax takes his own fire extinguisher to the CHIN. Then catches a BLOW from the oxygen TANK to his TEMPLE.  The extinguisher goes FLYING. Wade swings the OXYGEN TANK AGAIN, but against all odds, AJAX CATCHES it and SLAMS itback into Wades NOSE. CRUNCH. Deadpool Final Shooting Script 111615 69. 41  Ajax rises to his feet, and the two grip OPPOSITE SIDES ofthe OXYGEN TANK, GRAPPLING with every ounce of strength. Wade sweeps Ajaxs feet and he topples over backwards, Wadeon top of him. Wade lifts the heavy tank and slams it intohis face. Once. Twice. Three times. CRACK. As hes about to finish the job Ajax smiles, blood bubblingfrom his smashed lips.","['AJAX', 'WADE', 'CUNNINGHAM', 'WADE', 'AJAX']","['You cant kill me, Wade. I am the onlyone who can fix that ugly mug. Wade looks torn as his rage gives way to something like hope. He tosses the tank away.', 'Then time to make me me again. A scream of terror behind Wade makes Wade turn.', 'Wade Help Wade Wade looks through the smoke and flame and spies a helplessCunningham lying in the flaming wreckage.', 'Fuck Wade drops Ajax and SPRINTS to Cunningham, starts dragging atthe WRECKAGE Page 71119trapping him, when... SLICE A long piece ofsheared REBAR THRUSTS CLEAN THROUGH his CHEST from BEHIND.  The force sends the spear DEEP into the wooden floor beams, pinning Wade like an insect in an entomologists display. In a grand display of strength, AJAX BENDS the end of therebar to keep Wade pinned... then walks around and squatsdown into Wades eye line, wearing a triumphant sneer.', 'Say it. Francis. Blood dribbles from Wades mouth as he tries in vain to pushhimself off the bloody spike of metal. Ajax rises, scans theburning workshop with a scowl  clearly a lost cause  andturns to leave. Cunningham screams again as the flames near him. Gruntingwith the pain and effort Wade tries to push himself off thespike. Deadpool Final Shooting Script 111615 70. 41  His hands slip on the bloodslick metal, and he cannot freehimself. His VOLTRON RING lies on the floor next to him. Wade and Cunningham share a last look. Cunningham clamps his  jaws shut, fighting the agony. CREAK... CRACKLE... the ROOF COLLAPSES, BURYING BOTH OF THEM.  And we... .']"," Back in the PunchBowl, Wade OPENS his MOUTH... within which  he was HIDING a SINGLE MATCHSTICK, clenched carefully  dryly between his teeth.  He inhales... then SPITS OUT the match into his waiting PALM. Finally, he STRIKES it against the side of the Punch Bowl. Wade aims the now FLAMING match toward the tiny HOLE throughwhich OXYGEN flows. The match is quickly burning down. Will  it reach the hole before it snuffs out? At the last possible moment... the flame COMBUSTS the stream of oxygen, IGNITING it... Deadpool Final Shooting Script 111615 68. 41  back through the TRANSPARENT PLASTIC TUBE that trails outside the PunchBowl.  The flame SNAKES through the tube, this way and that, untilit reaches the OXYGEN TANK standing next to the PunchBowl. A beat. Then the TANK EXPLODES. The BLOWS APART. The hospital bed SNAPS in TWO. Out in the ward, the FIREBALL curls outward, spreading fromTENT to TENT. BOOM BOOM Other flammable tanks DETONATE.  The tents GO UP like ROMAN CANDLES. Its now MASS CHAOS.  ALARMS BLARE. Flames LEAP. Smoke BILLOWS. Patients FLEE.  A CURTAIN of FIRE suddenly DISPERSES, replaced by billowy WHITE SMOKE from an OVERSIZED CHROME FIRE EXTINGUISHER... held by AJAX, who STRIDES grimly toward Wades tent. He  throws back the burning fabric...  and nearly EATS an OXYGEN TANK. He BLOCKS it at the last moment with his FIRE EXTINGUISHER. CLANG. On the other end of the oxygen tank, WINDMILLING it withunbridled FEROCITY, is WADE.  Page 70119WADE and AJAX SWING the oxygen tank and fire extinguisher like modern day CLUBS, trying to take off each others heads.  CLANG BANG BAM The tanks COLLIDE in midair.  Ajaxs fingers CRUNCH between metal. He doesnt even feel it. Wade grabs the HOSE of Ajaxs fire extinguisher, angles itup, and gets his finger on the TRIGGER.  The extinguisher BLASTS. Ajax is momentarily BLINDED.  Wade brings the oxygen tank down like a LUMBERJACKS AXE. Ajax BLOCKS it, but is driven to his KNEES.  Wades eyes are lit with fire. DOWN the tank COMES, again and AGAIN. Ajax takes his own fire extinguisher to the CHIN. Then catches a BLOW from the oxygen TANK to his TEMPLE.  The extinguisher goes FLYING. Wade swings the OXYGEN TANK AGAIN, but against all odds, AJAX CATCHES it and SLAMS itback into Wades NOSE. CRUNCH. Deadpool Final Shooting Script 111615 69. 41  Ajax rises to his feet, and the two grip OPPOSITE SIDES ofthe OXYGEN TANK, GRAPPLING with every ounce of strength. Wade sweeps Ajaxs feet and he topples over backwards, Wadeon top of him. Wade lifts the heavy tank and slams it intohis face. Once. Twice. Three times. CRACK. As hes about to finish the job Ajax smiles, blood bubblingfrom his smashed lips. AJAX  You cant kill me, Wade. I am the onlyone who can fix that ugly mug. Wade looks torn as his rage gives way to something like hope. He tosses the tank away. WADE  Then time to make me me again. A scream of terror behind Wade makes Wade turn. CUNNINGHAM   Wade Help Wade Wade looks through the smoke and flame and spies a helplessCunningham lying in the flaming wreckage. WADE  Fuck Wade drops Ajax and SPRINTS to Cunningham, starts dragging atthe WRECKAGE Page 71119trapping him, when... SLICE A long piece ofsheared REBAR THRUSTS CLEAN THROUGH his CHEST from BEHIND.  The force sends the spear DEEP into the wooden floor beams, pinning Wade like an insect in an entomologists display. In a grand display of strength, AJAX BENDS the end of therebar to keep Wade pinned... then walks around and squatsdown into Wades eye line, wearing a triumphant sneer. AJAX  Say it. Francis. Blood dribbles from Wades mouth as he tries in vain to pushhimself off the bloody spike of metal. Ajax rises, scans theburning workshop with a scowl  clearly a lost cause  andturns to leave. Cunningham screams again as the flames near him. Gruntingwith the pain and effort Wade tries to push himself off thespike. Deadpool Final Shooting Script 111615 70. 41  His hands slip on the bloodslick metal, and he cannot freehimself. His VOLTRON RING lies on the floor next to him. Wade and Cunningham share a last look. Cunningham clamps his  jaws shut, fighting the agony. CREAK... CRACKLE... the ROOF COLLAPSES, BURYING BOTH OF THEM.  And we... . FADE UP ON 42 "
51,INT. WORKSHOP  DAY 42,"Mornings first sunlight. WADEs VOLTRON RING lies  COMPLETELY MELTED in the DEBRIS. The camera follows it to  Wades hand... then up his arm to his FACE. WADEs eyelids flutter, and he COMES TO. He is naked, his  hospital gown burned away. We see ENED SLUDGE, SOOT,  charred remains. The melted and scorched metal rod next to  him. Wade slowly realizes where he is and what happened. He  reaches down to his stomach wound... WHICH HAS MIRACULOUSLY  HEALED. Wade sits up, stunned.",['DEADPOOL'],['I didnt just get the cure to El Cncer. I got the cure to everything. V43 ']," Mornings first sunlight. WADEs VOLTRON RING lies  COMPLETELY MELTED in the DEBRIS. The camera follows it to  Wades hand... then up his arm to his FACE. WADEs eyelids flutter, and he COMES TO. He is naked, his  hospital gown burned away. We see ENED SLUDGE, SOOT,  charred remains. The melted and scorched metal rod next to  him. Wade slowly realizes where he is and what happened. He  reaches down to his stomach wound... WHICH HAS MIRACULOUSLY  HEALED. Wade sits up, stunned. DEADPOOL  I didnt just get the cure to El Cncer. I got the cure to everything. V43 "
52,EXT. CITY STREET  MORNING  PAST V43,"VANESSA, tired, broken, mind seemingly elsewhere, walkstowards her apartment. She passes a loving young COUPLE, arm Page 72119inarm. Vanessa clocks this sadly, continues on. Behind her, PEOPLE walk to and fro. Among them, we REVEAL WADE, dressed in illfitting pants and a hoodie. He is a  TRAINWRECK, scarred face on display to the world for thefirst time. He looks purposeful, but tentative, walking behind Vanessa, GAINING on her. A BOY goes by on his bike, trying hard not to gape. A  TODDLER in a STROLLER looks up and BURSTS INTO TEARS. The  toddlers MOTHER hustles past. Deadpool Final Shooting Script 111615 71. V43",['DEADPOOL'],"['In the whole wide world, theres nothing as ugly... as fear. He gives up on his mission, backing away from his reflection, Vanessa, his old life. He stumbles off the curb and into the  street, when... BAM He is CRUSHED OUT OF FRAME by a SPEEDING BUS. Page 73119SMASH   .']"," VANESSA, tired, broken, mind seemingly elsewhere, walkstowards her apartment. She passes a loving young COUPLE, arm Page 72119inarm. Vanessa clocks this sadly, continues on. Behind her, PEOPLE walk to and fro. Among them, we REVEAL WADE, dressed in illfitting pants and a hoodie. He is a  TRAINWRECK, scarred face on display to the world for thefirst time. He looks purposeful, but tentative, walking behind Vanessa, GAINING on her. A BOY goes by on his bike, trying hard not to gape. A  TODDLER in a STROLLER looks up and BURSTS INTO TEARS. The  toddlers MOTHER hustles past. Deadpool Final Shooting Script 111615 71. V43  MOTHER  Alex, dont stare. VANESSA stops and rifles through her purse for keys. STILL on Wades P.O.V. Wade stops, too, suddenly paralyzed, as the moment to face Vanessa arrives. As he hesitates, torn with anguish, the WHISPERS seem togrow, rising in volume until they become deafening WHISPER 2  Oh, my, god, that is so fucking gnarly. WHISPER 3  I just lost my appetite. Wade spins, trying to see where the voices are coming from. Nowhere... everywhere. The WHISPERS crescendo, now more in  Wades mind than in reality. He turns back to Vanessa, his face a mask of fear and pain... just as she disappears into her apartment building. The  closing glass door reveals his own HIDEOUS REFLECTION STARINGBACK AT HIM. DEADPOOL In the whole wide world, theres nothing as ugly... as fear. He gives up on his mission, backing away from his reflection, Vanessa, his old life. He stumbles off the curb and into the  street, when... BAM He is CRUSHED OUT OF FRAME by a SPEEDING BUS. Page 73119SMASH   . FADE UP ON A43 "
53,INT. MORGUE  NIGHT A43,"THREE BODY BAGS lie on SLABS in a MORGUE. Without warning, the MIDDLE bag SITS UP STRAIGHT at theWAIST... then tries to CATERPILLAR its way to the edge of itsslab... Deadpool Final Shooting Script 111615 72. A43  but instead pitches off the slab  CRUNCH  FACEFIRSTonto the floor.",['WADE'],['Ow. B44 ']," THREE BODY BAGS lie on SLABS in a MORGUE. Without warning, the MIDDLE bag SITS UP STRAIGHT at theWAIST... then tries to CATERPILLAR its way to the edge of itsslab... Deadpool Final Shooting Script 111615 72. A43  but instead pitches off the slab  CRUNCH  FACEFIRSTonto the floor.  WADE  Ow. B44 "
54,INT. DEADPOOL’S LAIR  NIGHT B44 ,"An FBISTYLE ORGANIZATIONAL CHART has been pinned on WadesCORKBOARD in the lair. A pyramid of baddies are linked bystrings. Each baddie is depicted not by a photograph, but a  childlike CRAYON DRAWING. Second from the top is the RECRUITER.  At the APEX of the pyramid is AJAX HIMSELF.  DEADPOOL, in his LAIR, sews together an early proto costume.  We see quick cuts of pieces of it going on  White Adidas track suit. White gloves. White boots. And some sort of white mask...  A single gun, underarm holster, boot knife but no swords.  VC44",,," An FBISTYLE ORGANIZATIONAL CHART has been pinned on WadesCORKBOARD in the lair. A pyramid of baddies are linked bystrings. Each baddie is depicted not by a photograph, but a  childlike CRAYON DRAWING. Second from the top is the RECRUITER.  At the APEX of the pyramid is AJAX HIMSELF.  DEADPOOL, in his LAIR, sews together an early proto costume.  We see quick cuts of pieces of it going on  White Adidas track suit. White gloves. White boots. And some sort of white mask...  A single gun, underarm holster, boot knife but no swords.  VC44 "
55,INT. POOL HALL  NIGHT VC44 ,,"['DEADPOOL', 'DEADPOOL', 'DEADPOOL']","['Dont make me ask twice. Wheres  Francis? DEADPOOL questions a bleeding thug, more bodies scatteredacross a floor littered with broken furniture behind him.  Another thug rushes in and smashes a pool cue over Deadpools skull. Deadpool snatches the broken shaft of wood and PUNCHES it into the thugs belly.  A third thug staggers to his feet, pulls a pistol, firesmultiple shots point blank. Deadpool staggers back, bloodblossoming across his white suit.', 'I said, wheres... fucking... FR realizes You made me ask twice. Deadpool spins the bloody cue with inhuman dexterity andstarts towards the terrified thug, accidentally knocking overa PITCHER of BLOODY MARY onto his already bloody stainedsuit.', 'Fuck. Me. D44 ']"," DEADPOOL  Dont make me ask twice. Wheres  Francis? DEADPOOL questions a bleeding thug, more bodies scatteredacross a floor littered with broken furniture behind him.  Another thug rushes in and smashes a pool cue over Deadpools skull. Deadpool snatches the broken shaft of wood and PUNCHES it into the thugs belly.  A third thug staggers to his feet, pulls a pistol, firesmultiple shots point blank. Deadpool staggers back, bloodblossoming across his white suit. CLICK  The thug stares in disbelief that Deadpools still standing.  Deadpool looks down at the shaft of wood in his hand. Page 74119Thinks. Deadpool Final Shooting Script 111615 73. VC44  DEADPOOL  I said, wheres... fucking... FR realizes You made me ask twice. Deadpool spins the bloody cue with inhuman dexterity andstarts towards the terrified thug, accidentally knocking overa PITCHER of BLOODY MARY onto his already bloody stainedsuit. DEADPOOL  Fuck. Me. D44 "
56,INT. LAUNDROMAT  DAY D44,"DEADPOOL, TIDE STAINSTICK in hand, tries unsuccessfully toget the blood out of his white suit. We get our first glimpse of BLIND AL, whos sitting next toDeadpool at the laundromat, completely unfazed by the  bloodbath BLIND AL  Seltzer water and lemon for blood.  Or wear red. Deadpools eyes light up. He crumples this suit into a balland tosses it into a trash bin. E44H44",,," DEADPOOL, TIDE STAINSTICK in hand, tries unsuccessfully toget the blood out of his white suit. We get our first glimpse of BLIND AL, whos sitting next toDeadpool at the laundromat, completely unfazed by the  bloodbath BLIND AL  Seltzer water and lemon for blood.  Or wear red. Deadpools eyes light up. He crumples this suit into a balland tosses it into a trash bin. E44H44"
57,INT. DEADPOOL’S LAIR  NIGHT E44/H44,Deadpool stabs a KNIFE into the picture of the GOON he justkilled at the bottom of the pyramid... right in the  FOREHEAD. F44,,, Deadpool stabs a KNIFE into the picture of the GOON he justkilled at the bottom of the pyramid... right in the  FOREHEAD. F44 
58,INT. LAIR  NIGHT F44,"DEADPOOLs at the sewing machine again. Quick cuts of a RED proto outfit going on Cheap red  sweats. Red gloves. Red converse. As yet unseen RED MASK, which turns out to be... VG44",,," DEADPOOLs at the sewing machine again. Quick cuts of a RED proto outfit going on Cheap red  sweats. Red gloves. Red converse. As yet unseen RED MASK, which turns out to be... VG44 "
59,INT. UNDERGROUND FIGHT  NIGHT VG44,"a RED LUCHA LIBRE PRO WRESTLING MASK. Deadpool stands in the shadows of a dingy basement, lowceilings, walls stacked high with cases of liquor. Deadpool Final Shooting Script 111615 74. Page 75119VG44  In a BOXING RING at the center of the room two WOMEN poundeach other surrounded by a scrum of a CROWD. Deadpool spieshis mark in a dirty white suit pressed in tight ringside. Deadpool pulls his mask down, wades into the crowd, throwingmen aside, PLOWING toward his target. The mark sees Deadpool at the last second, turns as a KATANAflashes out and skewers his hand, pinning it to the wall. Deadpool fires a couple shots into the ceiling, sending therest of the crowd rushing for the exit.",['DEADPOOL'],['Dont make me ask twice. Wheres J44 INT.']," a RED LUCHA LIBRE PRO WRESTLING MASK. Deadpool stands in the shadows of a dingy basement, lowceilings, walls stacked high with cases of liquor. Deadpool Final Shooting Script 111615 74. Page 75119VG44  In a BOXING RING at the center of the room two WOMEN poundeach other surrounded by a scrum of a CROWD. Deadpool spieshis mark in a dirty white suit pressed in tight ringside. Deadpool pulls his mask down, wades into the crowd, throwingmen aside, PLOWING toward his target. The mark sees Deadpool at the last second, turns as a KATANAflashes out and skewers his hand, pinning it to the wall. Deadpool fires a couple shots into the ceiling, sending therest of the crowd rushing for the exit. DEADPOOL  Dont make me ask twice. Wheres J44 INT."
